id,problem,variant,seed,l2_original_budget,l2_double_budget,l2_difference,maximum_original_budget,maximum_double_budget
wave__full_quad__66,wave,full_quad,66,0.13008637048219848,0.026906864458576624,-0.10317950602362186,0.16661971695329747,0.03169917414551282
burgers__full_exp__66,burgers,full_exp,66,0.5496438312705517,0.5461562031222679,-0.00348762814828385,1.9060837830930402,1.9397482137172761
burgers__full_quad__66,burgers,full_quad,66,0.40953989281994735,0.4124763388708744,0.0029364460509270773,1.7763759920111464,1.8165417002017694
wave__neither__66,wave,neither,66,0.3670197282724136,0.14160094614533872,-0.22541878212707486,0.4220407189788611,0.17723458404879278
helmholtz__local_only__66,helmholtz,local_only,66,0.09445623527393271,0.028385907817169764,-0.06607032745676295,0.13165156908683615,0.044883877569949784
helmholtz__full_quad__77,helmholtz,full_quad,77,0.04046381972970876,0.0328725963171557,-0.007591223412553055,0.11203091348420316,0.027853673226077652
burgers__full_exp__77,burgers,full_exp,77,0.22401867133999318,0.22249197728621134,-0.0015266940537818352,1.794448723037451,1.8228054097382451
allen_cahn__local_only__77,allen_cahn,local_only,77,0.03430225582093396,0.033418596607578184,-0.0008836592133557794,0.06893878027096302,0.0475497702633596
allen_cahn__global_only__77,allen_cahn,global_only,77,0.049519477367147686,0.023682337966322076,-0.02583713940082561,0.090956375935609,0.048484411808925036
wave__global_only__77,wave,global_only,77,0.27513054699895256,0.11543311157887816,-0.15969743542007442,0.47005332516779824,0.21706794387302153
wave__full_exp__77,wave,full_exp,77,0.17661277267950182,0.02703557895416571,-0.14957719372533612,0.23699989123067555,0.03471301086476468
burgers__neither__77,burgers,neither,77,0.563564493583208,0.5503407668806863,-0.013223726702521699,1.8163205640717042,1.82487872428006
wave__full_quad__77,wave,full_quad,77,0.15171982025795555,0.025911554767606315,-0.12580826549034924,0.20749539368005565,0.03294330494450958
helmholtz__full_exp__77,helmholtz,full_exp,77,0.06299610546101093,0.007206878410753759,-0.05578922705025718,0.07757532243409707,0.00903432706080562
allen_cahn__full_quad__77,allen_cahn,full_quad,77,0.030977589726660343,0.020755093253149785,-0.010222496473510558,0.05110396855606619,0.030360854807484877
burgers__local_only__77,burgers,local_only,77,0.20717441466126552,0.20822878993639204,0.001054375275126529,1.7264744272539347,1.7599832776672337
wave__neither__77,wave,neither,77,0.2726124945486173,0.11072833557564599,-0.16188415897297131,0.46943258859416015,0.17814318012440425
wave__local_only__77,wave,local_only,77,0.18039830757254288,0.02438473144802966,-0.15601357612451322,0.23850787362822023,0.032122517170746934
allen_cahn__full_exp__77,allen_cahn,full_exp,77,0.03215957773782048,0.028448958239201984,-0.0037106194986184955,0.053649700887704765,0.040510739369065185
helmholtz__global_only__77,helmholtz,global_only,77,0.09162222763946541,0.027754886853216563,-0.06386734078624885,0.2709031150498374,0.07866772235417739
allen_cahn__neither__77,allen_cahn,neither,77,0.05498148765745092,0.025150932844433645,-0.029830554813017277,0.10042700864728948,0.058227651031669755
helmholtz__neither__77,helmholtz,neither,77,0.11163096703171799,0.10400103652220227,-0.007629930509515714,0.3094331480779056,0.29345199365045943
burgers__global_only__77,burgers,global_only,77,0.5269551736397344,0.4370037584672843,-0.08995141517245014,1.6978629903623306,1.860170607613815
helmholtz__local_only__77,helmholtz,local_only,77,0.1126855167280635,0.050765531998566295,-0.0619199847294972,0.1702201075302291,0.06794492808355768
burgers__full_quad__77,burgers,full_quad,77,0.22417589307847083,0.20322845481534998,-0.020947438263120843,1.761934030799369,1.7044038853700245
helmholtz__full_exp__88,helmholtz,full_exp,88,0.0838369215956136,0.0871686756079581,0.0033317540123445066,0.11922816508851142,0.06831084061216318
allen_cahn__neither__88,allen_cahn,neither,88,0.05560189027255856,0.03301028515594464,-0.02259160511661392,0.11973992642078102,0.05445793660316245
helmholtz__global_only__88,helmholtz,global_only,88,0.09472957703143522,0.019381253369563048,-0.07534832366187218,0.1731193468442969,0.0441067153066667
burgers__full_exp__88,burgers,full_exp,88,0.18315358557072992,0.18348383581839647,0.0003302502476665581,1.4421059888642453,1.7947143225052038
helmholtz__neither__88,helmholtz,neither,88,0.11292179204265171,0.08675196211201384,-0.026169829930637864,0.20345359200278043,0.1461068219848498
burgers__local_only__88,burgers,local_only,88,0.19429819307802296,0.18710535551032437,-0.00719283756769859,1.6417910446374817,1.8246083475630273
wave__full_exp__88,wave,full_exp,88,0.22668323029304932,0.027614922405225926,-0.1990683078878234,0.30140033322192994,0.03599524469721038
